,hotel_name,hotel_prices,hotel_rat,hotel_loc
0,The Regale by Tunga,"INR2,063",4.8,Mumbai
1,Trident Bandra Kurla,"INR4,500",4.8,Mumbai
2,"ITC Maratha, A Luxury Collection Hotel","INR3,900",4.8,Mumbai
3,Trident Nariman Point,"INR6,250",4.8,Mumbai
4,Taj Lands End,"INR5,250",4.8,Mumbai
5,"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai","INR3,562",4.8,Mumbai
6,Taj Mahal Tower,"INR6,500",4.8,Mumbai
7,The Fern Goregaon,"INR3,729",4.8,Mumbai
8,OYO Flagship 17200 Hotel Neelkamal Chembur,"INR1,573",4.8,Mumbai
9,OYO 69852 Hotel Juhu Star,"INR2,096",4.8,Mumbai
10,Taj Santacruz,"INR5,000",4.8,Mumbai
11,JW Marriott Mumbai Juhu,"INR6,500",4.8,Mumbai
12,Four Seasons Hotel Mumbai,"INR4,700",4.8,Mumbai
13,"President,Mumbai IHCL SeleQtions","INR4,000",4.8,Mumbai
14,OYO 22535 Hotel Orbit Inn,"INR2,242",4.8,Mumbai
15,ITC Grand Central,"INR3,500",4.8,Mumbai
16,The Leela Mumbai,"INR4,319",4.8,Mumbai
17,"Lemon Tree Premier, Mumbai International Airport, Mumbai","INR2,456",4.8,Mumbai
18,JW Marriott Mumbai Sahar,"INR5,250",4.8,Mumbai
19,OYO 9849 Hotel Divine Residency,"INR2,647",4.8,Mumbai
20,Radisson Mumbai Andheri MIDC,"INR2,943",4.8,Mumbai
21,Sahara Star,"INR5,550",4.8,Mumbai
22,Ginger Mumbai Andheri,"INR2,433",4.8,Mumbai
23,Meluha - The Fern,"INR3,844",4.8,Mumbai
24,Hilton Mumbai International Airport,"INR4,016",4.8,Mumbai
25,The St. Regis Mumbai,"INR7,000",4.8,Mumbai
26,Kohinoor Continental,"INR2,482",4.8,Mumbai
27,Radisson Mumbai Goregaon,"INR4,282",4.8,Mumbai
28,The Resort Mumbai,"INR3,512",4.8,Mumbai
29,Capital O 29704 Regal International,"INR1,350",4.8,Mumbai
30,Villa Eliza,"INR7,990",4.8,Mumbai
31,Ramee Techome,"INR3,813",4.8,Mumbai
32,Indie Stays,INR816,4.8,Mumbai
33,Sofitel Mumbai BKC- Luxury Brand by Accor,"INR4,004",4.8,Mumbai
34,Hotel Metropole Inn,"INR1,815",4.8,Mumbai
35,The Taj Mahal Palace,"INR14,000",4.8,Mumbai
36,Aflon hotel,"INR1,162",4.8,Mumbai
37,Courtyard by Marriott Mumbai International Airport,"INR3,700",4.8,Mumbai
38,Theory9 Premium Serviced Apartments,"INR4,949",4.8,Mumbai
39,The Oberoi,"INR9,750",4.8,Mumbai
40,Ashok Deluxe Apartments,"INR2,538",4.8,Mumbai
41,Ramee Guestline Hotel - Dadar,"INR3,140",4.8,Mumbai
42,goStops Mumbai,INR345,4.8,Mumbai
43,Sun-N-Sand,"INR4,982",4.8,Mumbai
44,Hotel Oriental Aster Mumbai Airport,"INR2,019",4.8,Mumbai
45,Renaissance Mumbai Convention Centre Hotel,"INR4,500",4.8,Mumbai
46,Radisson Blu Mumbai International Airport,"INR2,706",4.8,Mumbai
47,Hyatt Regency Mumbai,"INR3,825",4.8,Mumbai
48,The Ambassador Mumbai,"INR4,467",4.8,Mumbai
49,Rodas - An Ecotel Hotel,"INR3,075",4.8,Mumbai
50,Hotel Bawa Continental,"INR2,000",4.8,Mumbai
51,The Westin Mumbai Garden City,"INR6,000",4.8,Mumbai
52,Hotel Leafio,"INR2,161",4.8,Mumbai
53,Hotel Sai Residency,"INR1,504",4.8,Mumbai
54,Hotel Magnet,INR810,4.8,Mumbai
55,Novotel Mumbai Juhu Beach,"INR4,928",4.8,Mumbai
56,Qubestay Airport Capsule Hostel,INR376,4.8,Mumbai
57,The Sahil Hotel,"INR3,127",4.8,Mumbai
58,QubeStay TownHostel,INR366,4.8,Mumbai
59,Hotel Marine Plaza,"INR4,500",4.8,Mumbai
60,Airport Dormitory ( Close to International Airport),INR194,4.8,Mumbai
61,THE ROOMS OF STATUS,INR940,4.8,Mumbai
62,Prime Grand Hotel,"INR1,282",4.8,Mumbai
63,GCC Hotel and Club,"INR3,384",4.8,Mumbai
64,Vishal Hall,"INR1,281",4.8,Mumbai
65,Hotel Jyoti Dwelling,"INR1,645",4.8,Mumbai
66,The Beatle,"INR3,140",4.8,Mumbai
67,Hotel Kumkum,"INR1,615",4.8,Mumbai
68,THE MYRIAD Business Hotel,"INR2,220",4.8,Mumbai
69,The Orchid,"INR3,499",4.8,Mumbai
70,KRISHNA PALACE HOTEL,"INR1,892",4.8,Mumbai
71,The Lalit Mumbai,"INR5,500",4.8,Mumbai
72,GCC Sonal Apartments.,"INR3,008",4.8,Mumbai
73,Lakeside Chalet Marriott Executive Apartments,"INR6,800",4.8,Mumbai
74,Payyade Residency Private Limited,"INR2,106",4.8,Mumbai
75,GCC North Side Hotel,"INR2,930",4.8,Mumbai
76,Rudra Shelter Business hotel,"INR1,547",4.8,Mumbai
77,Grand Hyatt Mumbai,"INR5,313",4.8,Mumbai
